BOLLStrategy_22_1.28,tickers,['BTCUSDT'],initial equity,1.0,frequency,60 min
Start date,2017-04-01 00:00:00,End date,2018-04-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2017-10-28 00:00:00,BTCUSDT,LONG,0.00017158108795119472,Binance,5822.32,0.001
2017-10-28 03:00:00,BTCUSDT,CLOSE,0.00017158108795119472,Binance,5726.92,0.000982631164209456
2017-10-29 06:00:00,BTCUSDT,LONG,0.00017004830674445444,Binance,5766.99,0.0009816485330452465
2017-10-30 16:00:00,BTCUSDT,CLOSE,0.00017004830674445444,Binance,6065.06,0.001031353183303521
2017-10-31 10:00:00,BTCUSDT,LONG,0.00016681439226260355,Binance,6170.28,0.0010303218301202174
2017-11-03 23:00:00,BTCUSDT,CLOSE,0.00016681439226260355,Binance,7115.04,0.0011868910735241148
2017-11-04 13:00:00,BTCUSDT,LONG,0.00016337735211003008,Binance,7250.2,0.0011857041824505905
2017-11-05 21:00:00,BTCUSDT,CLOSE,0.00016337735211003008,Binance,7324.28,0.0011966214725124512
2017-11-08 01:00:00,BTCUSDT,LONG,0.0001641552475861029,Binance,7275.0,0.0011954248510399387
2017-11-08 18:00:00,BTCUSDT,CLOSE,0.0001641552475861029,Binance,7070.0,0.0011605776004337475
2017-11-10 04:00:00,BTCUSDT,LONG,0.00015954181267103962,Binance,7259.9,0.0011594170228333138
2017-11-10 09:00:00,BTCUSDT,CLOSE,0.00015954181267103962,Binance,7059.99,0.001126363602039413
2017-11-13 05:00:00,BTCUSDT,LONG,0.000179853891464661,Binance,6250.14,0.0011252372384373736
2017-11-18 00:00:00,BTCUSDT,CLOSE,0.000179853891464661,Binance,7604.98,0.0013677852475109174
2017-11-18 21:00:00,BTCUSDT,LONG,0.00017475091498220463,Binance,7811.41,0.0013664174622634066
2017-11-21 03:00:00,BTCUSDT,CLOSE,0.00017475091498220463,Binance,7894.41,0.001379555370744666
2017-11-21 14:00:00,BTCUSDT,LONG,0.0001646296352455515,Binance,8363.0,0.0013781758153739213
2017-11-23 07:00:00,BTCUSDT,CLOSE,0.0001646296352455515,Binance,8140.0,0.0013400852308987894
2017-11-24 06:00:00,BTCUSDT,LONG,0.00016292071820749363,Binance,8208.94,0.0013387451456678906
2017-11-29 19:00:00,BTCUSDT,CLOSE,0.00016292071820749363,Binance,9306.0,0.0015161402036389358
2017-12-01 09:00:00,BTCUSDT,LONG,0.00015153825131415736,Binance,9985.0,0.0015146240634352967
2017-12-04 11:00:00,BTCUSDT,CLOSE,0.00015153825131415736,Binance,11120.82,0.0016852296159795075
2017-12-04 23:00:00,BTCUSDT,LONG,0.00014525095793912812,Binance,11579.0,0.0016835443863635281
2017-12-09 10:00:00,BTCUSDT,CLOSE,0.00014525095793912812,Binance,14358.6,0.002085600404664765
2017-12-10 13:00:00,BTCUSDT,LONG,0.00014182068541245124,Binance,14676.5,0.0020835148042601006
2017-12-12 12:00:00,BTCUSDT,CLOSE,0.00014182068541245124,Binance,16237.39,0.0023027977791092815
2017-12-14 12:00:00,BTCUSDT,LONG,0.00014202990943416822,Binance,16181.06,0.0023004949813301722
2017-12-16 03:00:00,BTCUSDT,CLOSE,0.00014202990943416822,Binance,17250.0,0.0024500159377394016
2017-12-16 09:00:00,BTCUSDT,LONG,0.00013745886866875764,Binance,17788.0,0.0024475659218016624
2017-12-17 16:00:00,BTCUSDT,CLOSE,0.00013745886866875764,Binance,18950.0,0.002604845561272957
2017-12-22 22:00:00,BTCUSDT,LONG,0.00017805767370886622,Binance,14599.98,0.0026022407157116844
2017-12-23 23:00:00,BTCUSDT,CLOSE,0.00017805767370886622,Binance,13300.0,0.0023681670603279206
2017-12-24 23:00:00,BTCUSDT,LONG,0.00017506911810180186,Binance,13500.0,0.002365798893267593
2017-12-27 14:00:00,BTCUSDT,CLOSE,0.00017506911810180186,Binance,15256.11,0.0026708737233640807
2017-12-29 02:00:00,BTCUSDT,LONG,0.00017949728261219366,Binance,14850.0,0.0026682028496407165
2017-12-30 01:00:00,BTCUSDT,CLOSE,0.00017949728261219366,Binance,13764.51,0.002470692141488366
2017-12-31 13:00:00,BTCUSDT,LONG,0.000187396600675906,Binance,13157.94,0.002468221449346878
2018-01-01 11:00:00,BTCUSDT,CLOSE,0.000187396600675906,Binance,13220.56,0.002477488003031856
2018-01-02 00:00:00,BTCUSDT,LONG,0.0001798206331859973,Binance,13750.01,0.002475010515028824
2018-01-04 08:00:00,BTCUSDT,CLOSE,0.0001798206331859973,Binance,14221.05,0.002557238215569727
2018-01-04 23:00:00,BTCUSDT,LONG,0.00016946907384799288,Binance,15059.54,0.002554680977354157
2018-01-06 12:00:00,BTCUSDT,CLOSE,0.00016946907384799288,Binance,16214.91,0.002747925780228558
2018-01-06 22:00:00,BTCUSDT,LONG,0.00016155715326031698,Binance,16975.0,0.0027451778544483295
2018-01-07 12:00:00,BTCUSDT,CLOSE,0.00016155715326031698,Binance,16500.0,0.0026656930287952303
2018-01-10 17:00:00,BTCUSDT,LONG,0.00018262313246606102,Binance,14567.51,0.002663027335766435
2018-01-11 03:00:00,BTCUSDT,CLOSE,0.00018262313246606102,Binance,12920.0,0.0023594908714615085
2018-01-12 12:00:00,BTCUSDT,LONG,0.00016772338367958823,Binance,14039.63,0.002357131380590047
2018-01-14 04:00:00,BTCUSDT,CLOSE,0.00016772338367958823,Binance,13644.42,0.0022884882907454472
2018-01-15 06:00:00,BTCUSDT,LONG,0.00016634464233108697,Binance,13730.01,0.002286199802454702
2018-01-16 00:00:00,BTCUSDT,CLOSE,0.00016634464233108697,Binance,13143.83,0.002186405700210611
2018-01-17 20:00:00,BTCUSDT,LONG,0.00020016723834341706,Binance,10901.06,0.0021842192945104003
2018-01-19 02:00:00,BTCUSDT,CLOSE,0.00020016723834341706,Binance,10575.14,0.0021167965688950034
2018-01-19 12:00:00,BTCUSDT,LONG,0.00018101163687346476,Binance,11670.88,0.002114679772326109
2018-01-21 00:00:00,BTCUSDT,CLOSE,0.00018101163687346476,Binance,12205.0,0.002209247028040637
2018-01-23 15:00:00,BTCUSDT,LONG,0.00020510053425410084,Binance,10750.0,0.0022070377810125964
2018-01-25 12:00:00,BTCUSDT,CLOSE,0.00020510053425410084,Binance,11065.0,0.002269437411521626
2018-01-26 02:00:00,BTCUSDT,LONG,0.0001955535146033495,Binance,11582.0,0.002267167974110104
2018-01-26 07:00:00,BTCUSDT,CLOSE,0.0001955535146033495,Binance,11010.0,0.002153044195782878
2018-01-27 05:00:00,BTCUSDT,LONG,0.00019117076312382742,Binance,11239.9,0.002150891151587095
2018-01-29 01:00:00,BTCUSDT,CLOSE,0.00019117076312382742,Binance,11499.63,0.0021983930427416595
2018-02-03 11:00:00,BTCUSDT,LONG,0.0002411021756408848,Binance,9099.87,0.0021961946496989178
2018-02-04 09:00:00,BTCUSDT,CLOSE,0.0002411021756408848,Binance,8829.99,0.002128929799887256
2018-02-06 13:00:00,BTCUSDT,LONG,0.0002960339396412329,Binance,7177.13,0.002126800870087369
2018-02-09 12:00:00,BTCUSDT,CLOSE,0.0002960339396412329,Binance,8241.0,0.0024396156965834003
2018-02-09 13:00:00,BTCUSDT,LONG,0.0002929908007636544,Binance,8309.95,0.002437176080886817
2018-02-10 15:00:00,BTCUSDT,CLOSE,0.0002929908007636544,Binance,8263.51,0.002421132412018466
2018-02-12 02:00:00,BTCUSDT,LONG,0.0002836690030907304,Binance,8518.0,0.002418711279606448
2018-02-13 08:00:00,BTCUSDT,CLOSE,0.0002836690030907304,Binance,8531.12,0.002420014305647392
2018-02-14 02:00:00,BTCUSDT,LONG,0.0002779323686448944,Binance,8689.8,0.002417594291341745
2018-02-18 05:00:00,BTCUSDT,CLOSE,0.0002779323686448944,Binance,10328.34,0.0028705800003698085
2018-02-19 07:00:00,BTCUSDT,LONG,0.0002648800263830524,Binance,10815.62,0.002867709420369439
2018-02-20 23:00:00,BTCUSDT,CLOSE,0.0002648800263830524,Binance,11200.99,0.0029669185267163062
2018-02-23 09:00:00,BTCUSDT,LONG,0.0002933994903469481,Binance,10092.0,0.00296395160818959
2018-02-24 10:00:00,BTCUSDT,CLOSE,0.0002933994903469481,Binance,9808.76,0.002877885184935531
2018-02-26 10:00:00,BTCUSDT,LONG,0.00029643227293331046,Binance,9689.0,0.0028750072997505956
2018-02-28 08:00:00,BTCUSDT,CLOSE,0.00029643227293331046,Binance,10525.0,0.0031199496726230925
2018-03-01 08:00:00,BTCUSDT,LONG,0.000292291933371901,Binance,10652.75,0.0031168297229504692
2018-03-02 14:00:00,BTCUSDT,CLOSE,0.000292291933371901,Binance,10774.99,0.0031494426591628993
2018-03-03 01:00:00,BTCUSDT,LONG,0.0002801366235700584,Binance,11220.05,0.0031462932165037373
2018-03-04 03:00:00,BTCUSDT,CLOSE,0.0002801366235700584,Binance,11163.0,0.003127165128912562
2018-03-04 20:00:00,BTCUSDT,LONG,0.0002719039837793923,Binance,11478.0,0.003124037963783649
2018-03-05 23:00:00,BTCUSDT,CLOSE,0.0002719039837793923,Binance,11454.27,0.0031144616442847803
2018-03-09 22:00:00,BTCUSDT,LONG,0.0003378153693741494,Binance,9200.99,0.0031113471826404956
2018-03-10 18:00:00,BTCUSDT,CLOSE,0.0003378153693741494,Binance,9080.0,0.0030673635539172767
2018-03-11 13:00:00,BTCUSDT,LONG,0.0003327075182478582,Binance,9200.97,0.0030642961903633594
2018-03-12 14:00:00,BTCUSDT,CLOSE,0.0003327075182478582,Binance,9245.99,0.0030762103866445144
2018-03-15 13:00:00,BTCUSDT,LONG,0.0003661080202394814,Binance,8385.67,0.0030731341762578698
2018-03-17 01:00:00,BTCUSDT,CLOSE,0.0003661080202394814,Binance,8129.02,0.002976099418687149
2018-03-18 21:00:00,BTCUSDT,LONG,0.00036111204678768703,Binance,8225.01,0.002973123319268462
2018-03-21 16:00:00,BTCUSDT,CLOSE,0.00036111204678768703,Binance,8846.72,0.0031946571665575664
2018-03-23 21:00:00,BTCUSDT,LONG,0.0003674393277494085,Binance,8677.0,0.0031914625093910085
2018-03-24 21:00:00,BTCUSDT,CLOSE,0.0003674393277494085,Binance,8663.36,0.003183259174451116
2018-03-25 18:00:00,BTCUSDT,LONG,0.0003689573088764479,Binance,8610.47,0.003180075915276665
2018-03-25 22:00:00,BTCUSDT,CLOSE,0.0003689573088764479,Binance,8448.95,0.003117301854831665
2018-03-28 09:00:00,BTCUSDT,LONG,0.00038508111999305066,Binance,8079.0,0.003114184552976833
2018-03-29 04:00:00,BTCUSDT,CLOSE,0.00038508111999305066,Binance,7596.0,0.0029250761874672127
2018-03-31 10:00:00,BTCUSDT,LONG,0.00041289958376203713,Binance,7070.07,0.0029221511112797454
Sharpe Ratio,Sortino Ratio,Max Drawdown,Max Drawdown Duration,Total Returns,Annualized Returns,Compound Annual Growth Rate
3.211379569938809,6.062502385786952,29.981660753297756,1009,1.8783684173593747,4.420877844188104,11.040227263416806
Trades,Trade Winning,Average Trade,Average Win,Average Loss,Best Trade,Worst Trade,Worst Trade Date,Avg Days in Trade
48,0.5416666666666666,0.027444883561777808,0.07937677034250304,-0.03392916445180657,0.24005527247603423,-0.1130948254025568,0 days 10:00:00,1 days 16:02:30
