,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,long_window,short_window
155,-1.08%,0.07%,1.95%,0 days 03:44:36.000000000,11.55%,128.8376958839138,298263,-1.2415690441405194,-1.3114964761581194,38%,1329,-8.02%,0 days 01:44:00.000000000,252,120
77,-1.08%,0.07%,1.95%,0 days 03:44:36.000000000,11.55%,128.8376958839138,298263,-1.2415690441405194,-1.3114964761581194,38%,1329,-8.02%,0 days 01:44:00.000000000,252,120
149,-0.96%,0.08%,2.00%,0 days 03:28:36.000000000,15.18%,125.72606468988062,298263,-0.13247484982971938,-1.3119522280703817,35%,1422,-7.46%,0 days 03:03:00.000000000,252,72
71,-0.96%,0.08%,2.00%,0 days 03:28:36.000000000,15.18%,125.72606468988062,298263,-0.13247484982971938,-1.3119522280703817,35%,1422,-7.46%,0 days 03:03:00.000000000,252,72
154,-1.05%,0.07%,1.96%,0 days 03:39:08.000000000,11.88%,130.7376566506289,298263,1.1952719947027046,-1.3388335504466382,37%,1362,-7.68%,0 days 02:44:00.000000000,252,96
76,-1.05%,0.07%,1.96%,0 days 03:39:08.000000000,11.88%,130.7376566506289,298263,1.1952719947027046,-1.3388335504466382,37%,1362,-7.68%,0 days 02:44:00.000000000,252,96
134,-0.77%,0.09%,1.90%,0 days 02:44:30.000000000,14.65%,136.53316465484266,303540,-0.958061930100175,-1.4117631457230924,32%,1809,-8.57%,0 days 02:29:00.000000000,252,35
56,-0.77%,0.09%,1.90%,0 days 02:44:30.000000000,14.65%,136.53316465484266,303540,-0.958061930100175,-1.4117631457230924,32%,1809,-8.57%,0 days 02:29:00.000000000,252,35
49,-0.72%,0.09%,1.86%,0 days 02:33:13.000000000,16.18%,137.38371388914652,303540,1.2673408090151712,-1.4137737757645243,31%,1942,-8.15%,0 days 02:28:00.000000000,252,30
127,-0.72%,0.09%,1.86%,0 days 02:33:13.000000000,16.18%,137.38371388914652,303540,1.2673408090151712,-1.4137737757645243,31%,1942,-8.15%,0 days 02:28:00.000000000,252,30
145,-0.93%,0.06%,1.93%,0 days 03:17:51.000000000,14.08%,137.02932694902958,303540,-0.2478353435905833,-1.4472671423198695,35%,1501,-6.77%,0 days 01:31:00.000000000,252,60
67,-0.93%,0.06%,1.93%,0 days 03:17:51.000000000,14.08%,137.02932694902958,303540,-0.2478353435905833,-1.4472671423198695,35%,1501,-6.77%,0 days 01:31:00.000000000,252,60
74,-1.01%,0.06%,1.95%,0 days 03:34:02.000000000,12.95%,143.9664635754292,298263,1.7004496892483032,-1.481967622347856,36%,1390,-8.40%,0 days 02:44:00.000000000,252,84
152,-1.01%,0.06%,1.95%,0 days 03:34:02.000000000,12.95%,143.9664635754292,298263,1.7004496892483032,-1.481967622347856,36%,1390,-8.40%,0 days 02:44:00.000000000,252,84
62,-0.85%,0.08%,1.86%,0 days 03:00:15.000000000,14.79%,143.41862364153673,303540,0.9185050599479292,-1.5075750299585795,34%,1650,-5.79%,0 days 03:09:00.000000000,252,45
140,-0.85%,0.08%,1.86%,0 days 03:00:15.000000000,14.79%,143.41862364153673,303540,0.9185050599479292,-1.5075750299585795,34%,1650,-5.79%,0 days 03:09:00.000000000,252,45
41,-0.68%,0.09%,1.83%,0 days 02:25:13.000000000,16.10%,147.79505863480523,303540,0.16642328144183965,-1.5270981352135895,31%,2051,-7.09%,0 days 02:27:00.000000000,252,26
119,-0.68%,0.09%,1.83%,0 days 02:25:13.000000000,16.10%,147.79505863480523,303540,0.16642328144183965,-1.5270981352135895,31%,2051,-7.09%,0 days 02:27:00.000000000,252,26
32,-0.49%,0.07%,1.66%,0 days 01:45:05.000000000,13.88%,195.94590721038767,578017,0.8955397726919322,-1.9730921220053084,26%,2861,-6.13%,0 days 02:24:00.000000000,252,12
110,-0.49%,0.07%,1.66%,0 days 01:45:05.000000000,13.88%,195.94590721038767,578017,0.8955397726919322,-1.9730921220053084,26%,2861,-6.13%,0 days 02:24:00.000000000,252,12
100,-0.46%,0.07%,1.61%,0 days 01:37:18.000000000,12.64%,213.60429773343083,578996,-1.038981613222289,-2.1561497565484293,26%,3089,-4.49%,0 days 00:21:00.000000000,252,10
22,-0.46%,0.07%,1.61%,0 days 01:37:18.000000000,12.64%,213.60429773343083,578996,-1.038981613222289,-2.1561497565484293,26%,3089,-4.49%,0 days 00:21:00.000000000,252,10
40,-0.62%,0.08%,1.30%,0 days 01:32:25.000000000,16.03%,216.57905042574188,578017,0.9600555410020921,-2.2017654435269653,36%,3214,-6.50%,0 days 00:46:00.000000000,120,26
118,-0.62%,0.08%,1.30%,0 days 01:32:25.000000000,16.03%,216.57905042574188,578017,0.9600555410020921,-2.2017654435269653,36%,3214,-6.50%,0 days 00:46:00.000000000,120,26
48,-0.64%,0.07%,1.34%,0 days 01:36:30.000000000,15.53%,235.26495782494752,556038,1.056716093071665,-2.3952054322700085,36%,3078,-7.58%,0 days 00:47:00.000000000,120,30
126,-0.64%,0.07%,1.34%,0 days 01:36:30.000000000,15.53%,235.26495782494752,556038,1.056716093071665,-2.3952054322700085,36%,3078,-7.58%,0 days 00:47:00.000000000,120,30
38,-0.55%,0.09%,1.12%,0 days 01:11:47.000000000,12.86%,237.9465154293515,578996,0.8461844345286722,-2.4096106926938163,38%,4135,-5.96%,0 days 00:28:00.000000000,84,26
116,-0.55%,0.09%,1.12%,0 days 01:11:47.000000000,12.86%,237.9465154293515,578996,0.8461844345286722,-2.4096106926938163,38%,4135,-5.96%,0 days 00:28:00.000000000,84,26
115,-0.53%,0.09%,1.04%,0 days 01:04:24.000000000,14.41%,249.09072040119545,556038,0.110257459806318,-2.52960508097286,39%,4590,-5.94%,0 days 00:38:00.000000000,72,26
37,-0.53%,0.09%,1.04%,0 days 01:04:24.000000000,14.41%,249.09072040119545,556038,0.110257459806318,-2.52960508097286,39%,4590,-5.94%,0 days 00:38:00.000000000,72,26
55,-0.69%,0.05%,1.32%,0 days 01:39:51.000000000,14.21%,262.7664705475166,556038,-0.4787957934718122,-2.7096864882942406,37%,2973,-8.66%,0 days 00:49:00.000000000,120,35
133,-0.69%,0.05%,1.32%,0 days 01:39:51.000000000,14.21%,262.7664705475166,556038,-0.4787957934718122,-2.7096864882942406,37%,2973,-8.66%,0 days 00:49:00.000000000,120,35
117,-0.59%,0.06%,1.17%,0 days 01:18:51.000000000,14.79%,268.8656678205029,578017,0.7178527819836271,-2.725004904629196,37%,3750,-6.39%,0 days 00:25:00.000000000,96,26
39,-0.59%,0.06%,1.17%,0 days 01:18:51.000000000,14.79%,268.8656678205029,578017,0.7178527819836271,-2.725004904629196,37%,3750,-6.39%,0 days 00:25:00.000000000,96,26
47,-0.61%,0.06%,1.17%,0 days 01:20:55.000000000,15.56%,271.6010619040806,578017,1.3296775262837597,-2.7611485665308697,38%,3654,-5.83%,0 days 00:50:00.000000000,96,30
125,-0.61%,0.06%,1.17%,0 days 01:20:55.000000000,15.56%,271.6010619040806,578017,1.3296775262837597,-2.7611485665308697,38%,3654,-5.83%,0 days 00:50:00.000000000,96,30
139,-0.72%,0.04%,1.30%,0 days 01:43:39.000000000,14.11%,268.2449894120279,553557,-0.5972025369564269,-2.774497569052546,38%,2862,-7.15%,0 days 02:26:00.000000000,120,45
61,-0.72%,0.04%,1.30%,0 days 01:43:39.000000000,14.11%,268.2449894120279,553557,-0.5972025369564269,-2.774497569052546,38%,2862,-7.15%,0 days 02:26:00.000000000,120,45
54,-0.63%,0.06%,1.16%,0 days 01:23:31.000000000,16.20%,288.892546381913,578017,-0.6762257163975931,-2.9468228342148715,38%,3538,-8.94%,0 days 00:49:00.000000000,96,35
132,-0.63%,0.06%,1.16%,0 days 01:23:31.000000000,16.20%,288.892546381913,578017,-0.6762257163975931,-2.9468228342148715,38%,3538,-8.94%,0 days 00:49:00.000000000,96,35
109,-0.48%,0.07%,1.22%,0 days 01:10:59.000000000,15.35%,290.9189131640349,578017,1.0652036598425043,-2.9584816457869527,32%,4246,-5.49%,0 days 00:46:00.000000000,120,12
31,-0.48%,0.07%,1.22%,0 days 01:10:59.000000000,15.35%,290.9189131640349,578017,1.0652036598425043,-2.9584816457869527,32%,4246,-5.49%,0 days 00:46:00.000000000,120,12
124,-0.59%,0.06%,1.12%,0 days 01:13:14.000000000,13.48%,293.7500207826764,578996,0.3789647083864004,-2.9868783107981693,38%,4012,-6.73%,0 days 00:28:00.000000000,84,30
46,-0.59%,0.06%,1.12%,0 days 01:13:14.000000000,13.48%,293.7500207826764,578996,0.3789647083864004,-2.9868783107981693,38%,4012,-6.73%,0 days 00:28:00.000000000,84,30
123,-0.55%,0.07%,1.04%,0 days 01:04:54.000000000,13.11%,298.119289104272,556038,-0.3775733582909037,-3.045382160516656,39%,4507,-6.99%,0 days 00:31:00.000000000,72,30
45,-0.55%,0.07%,1.04%,0 days 01:04:54.000000000,13.11%,298.119289104272,556038,-0.3775733582909037,-3.045382160516656,39%,4507,-6.99%,0 days 00:31:00.000000000,72,30
108,-0.45%,0.08%,1.12%,0 days 01:02:23.000000000,14.31%,303.0432628193695,578017,-0.151831663102395,-3.0744686823478724,34%,4821,-5.42%,0 days 00:15:00.000000000,96,12
30,-0.45%,0.08%,1.12%,0 days 01:02:23.000000000,14.31%,303.0432628193695,578017,-0.151831663102395,-3.0744686823478724,34%,4821,-5.42%,0 days 00:15:00.000000000,96,12
131,-0.62%,0.05%,1.11%,0 days 01:16:02.000000000,14.24%,312.6432275231631,578996,0.7743232326238686,-3.1799663726945937,39%,3897,-7.25%,0 days 00:48:00.000000000,84,35
53,-0.62%,0.05%,1.11%,0 days 01:16:02.000000000,14.24%,312.6432275231631,578996,0.7743232326238686,-3.1799663726945937,39%,3897,-7.25%,0 days 00:48:00.000000000,84,35
11,-0.36%,0.05%,1.46%,0 days 01:11:42.000000000,14.33%,316.6185063593972,578996,-1.1268016210196368,-3.2104876638960884,22%,4156,-4.57%,0 days 00:24:00.000000000,252,5
89,-0.36%,0.05%,1.46%,0 days 01:11:42.000000000,14.33%,316.6185063593972,578996,-1.1268016210196368,-3.2104876638960884,22%,4156,-4.57%,0 days 00:24:00.000000000,252,5
99,-0.45%,0.06%,1.21%,0 days 01:05:38.000000000,16.88%,318.33361830556044,578017,-0.0828603521034448,-3.2403128515890507,31%,4577,-4.91%,0 days 00:05:00.000000000,120,10
21,-0.45%,0.06%,1.21%,0 days 01:05:38.000000000,16.88%,318.33361830556044,578017,-0.0828603521034448,-3.2403128515890507,31%,4577,-4.91%,0 days 00:05:00.000000000,120,10
144,-0.77%,0.00%,1.27%,0 days 01:46:05.000000000,17.23%,320.250560174044,578017,0.19630060575846586,-3.249966924920773,38%,2793,-7.16%,0 days 00:51:00.000000000,120,60
66,-0.77%,0.00%,1.27%,0 days 01:46:05.000000000,17.23%,320.250560174044,578017,0.19630060575846586,-3.249966924920773,38%,2793,-7.16%,0 days 00:51:00.000000000,120,60
29,-0.45%,0.08%,1.06%,0 days 00:57:22.000000000,14.51%,326.27721888002634,553655,-0.6665615258988089,-3.3194786959720006,35%,5194,-5.70%,0 days 00:35:00.000000000,84,12
107,-0.45%,0.08%,1.06%,0 days 00:57:22.000000000,14.51%,326.27721888002634,553655,-0.6665615258988089,-3.3194786959720006,35%,5194,-5.70%,0 days 00:35:00.000000000,84,12
98,-0.43%,0.07%,1.12%,0 days 00:57:46.000000000,13.67%,333.1755704871552,578017,0.2285007857544337,-3.365383226865076,32%,5188,-4.56%,0 days 00:11:00.000000000,96,10
20,-0.43%,0.07%,1.12%,0 days 00:57:46.000000000,13.67%,333.1755704871552,578017,0.2285007857544337,-3.365383226865076,32%,5188,-4.56%,0 days 00:11:00.000000000,96,10
130,-0.58%,0.05%,1.02%,0 days 01:06:06.000000000,13.87%,333.2731362189419,578996,0.8554017140256306,-3.4018323897501284,39%,4471,-6.84%,0 days 00:33:00.000000000,72,35
52,-0.58%,0.05%,1.02%,0 days 01:06:06.000000000,13.87%,333.2731362189419,578996,0.8554017140256306,-3.4018323897501284,39%,4471,-6.84%,0 days 00:33:00.000000000,72,35
60,-0.68%,0.03%,1.17%,0 days 01:25:35.000000000,16.35%,336.3707020182654,578017,1.1587899230296528,-3.443796093560662,38%,3447,-5.46%,0 days 00:51:00.000000000,96,45
138,-0.68%,0.03%,1.17%,0 days 01:25:35.000000000,16.35%,336.3707020182654,578017,1.1587899230296528,-3.443796093560662,38%,3447,-5.46%,0 days 00:51:00.000000000,96,45
106,-0.43%,0.09%,1.02%,0 days 00:52:32.000000000,15.35%,334.5686358678543,553655,-1.51324043681267,-3.450635456665604,35%,5665,-5.47%,0 days 01:04:00.000000000,72,12
28,-0.43%,0.09%,1.02%,0 days 00:52:32.000000000,15.35%,334.5686358678543,553655,-1.51324043681267,-3.450635456665604,35%,5665,-5.47%,0 days 01:04:00.000000000,72,12
148,-0.78%,-0.00%,1.26%,0 days 01:43:37.000000000,13.84%,344.08672141714516,578017,0.9043780844604712,-3.4809220385353723,38%,2865,-7.44%,0 days 00:45:00.000000000,120,72
70,-0.78%,-0.00%,1.26%,0 days 01:43:37.000000000,13.84%,344.08672141714516,578017,0.9043780844604712,-3.4809220385353723,38%,2865,-7.44%,0 days 00:45:00.000000000,120,72
114,-0.51%,0.07%,0.96%,0 days 00:55:05.000000000,14.17%,348.59234938840075,578996,0.5855402135935734,-3.5118764308989223,40%,5378,-6.16%,0 days 00:30:00.000000000,60,26
36,-0.51%,0.07%,0.96%,0 days 00:55:05.000000000,14.17%,348.59234938840075,578996,0.5855402135935734,-3.5118764308989223,40%,5378,-6.16%,0 days 00:30:00.000000000,60,26
73,-0.80%,0.00%,1.14%,0 days 01:37:11.000000000,12.74%,352.6960425202732,578017,0.16200480032664227,-3.5498891568237387,41%,3052,-8.58%,0 days 01:28:00.000000000,120,84
151,-0.80%,0.00%,1.14%,0 days 01:37:11.000000000,12.74%,352.6960425202732,578017,0.16200480032664227,-3.5498891568237387,41%,3052,-8.58%,0 days 01:28:00.000000000,120,84
97,-0.42%,0.07%,1.06%,0 days 00:53:23.000000000,13.58%,352.9780600591802,578996,-0.9979711393730964,-3.5776467952524267,33%,5582,-5.98%,0 days 00:36:00.000000000,84,10
19,-0.42%,0.07%,1.06%,0 days 00:53:23.000000000,13.58%,352.9780600591802,578996,-0.9979711393730964,-3.5776467952524267,33%,5582,-5.98%,0 days 00:36:00.000000000,84,10
18,-0.40%,0.08%,1.00%,0 days 00:49:16.000000000,16.65%,350.849118710251,553655,-0.17767872696317974,-3.5946144549704115,35%,6021,-4.51%,0 days 00:01:00.000000000,72,10
96,-0.40%,0.08%,1.00%,0 days 00:49:16.000000000,16.65%,350.849118710251,553655,-0.17767872696317974,-3.5946144549704115,35%,6021,-4.51%,0 days 00:01:00.000000000,72,10
59,-0.63%,0.03%,1.09%,0 days 01:15:08.000000000,15.83%,363.1732289198423,578017,0.952629838089533,-3.6917586448563777,39%,3907,-7.38%,0 days 00:48:00.000000000,84,45
