,Average Loss,Average Trade,Average Win,Avg Days in Trade,Best Trade,Max Drawdown,Max Drawdown Duration,Sharpe Ratio,Total Returns,Trade Winning,Trades,Worst Trade,Worst Trade Date,b,s,window
1,-2.82%,0.67%,2.54%,0 days 07:15:29,11.53%,103.66386144203179,690,2.950431070158188,7.2333985500000075,65%,155,-15.88%,0 days 21:00:00,20,60,5
0,-2.51%,0.74%,2.71%,0 days 06:33:53,9.16%,103.66610330982633,1605,2.9468449771934084,5.755102760000016,62%,85,-10.15%,0 days 09:00:00,10,55,5
12,-8.23%,1.46%,5.33%,1 days 09:17:09,17.98%,105.59585337873759,1812,2.8381972057058964,4.927454310000007,71%,49,-17.77%,3 days 22:00:00,30,70,12
2,-3.64%,0.46%,2.55%,0 days 09:27:05,12.47%,85.79054100883626,1850,2.931683496711105,4.751587729999993,66%,175,-23.91%,2 days 03:00:00,30,70,5
3,-5.08%,0.38%,2.72%,0 days 13:18:42,12.92%,85.03122467979503,2509,2.0180209403472227,1.374763140000001,70%,170,-26.25%,2 days 04:00:00,40,80,5
53,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,96
38,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,60
43,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,72
48,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,84
58,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,120
63,N/A,N/A,N/A,0,N/A,90.96724377016524,2509,1.9977511755409716,1.2851497199999997,N/A,0,N/A,0,40,80,252
24,nan%,44.40%,44.40%,104 days 02:00:00,44.40%,91.25081168253003,2509,1.9885900199245186,1.2507123199999994,100%,1,44.40%,104 days 02:00:00,45,90,30
29,nan%,44.40%,44.40%,104 days 07:00:00,44.40%,91.25081168253003,2509,1.9885900199245186,1.2507123199999994,100%,1,44.40%,104 days 07:00:00,45,90,35
19,nan%,44.40%,44.40%,103 days 22:00:00,44.40%,91.25081168253003,2509,1.9885900199245186,1.2507123199999994,100%,1,44.40%,103 days 22:00:00,45,90,26
49,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,84
44,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,72
54,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,96
39,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,60
59,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,120
34,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,45
64,N/A,N/A,N/A,0,N/A,91.25081168253003,2509,1.9841444668538637,1.2384630799999998,N/A,0,N/A,0,45,90,252
7,-7.78%,0.64%,4.56%,1 days 02:53:20,11.04%,99.66549962637669,2490,2.2937346045934177,1.0934012000000082,68%,63,-21.63%,1 days 09:00:00,30,70,10
4,-6.27%,0.47%,3.47%,0 days 23:25:30,11.28%,95.66269075015606,2509,1.795034747843117,0.5721899500000012,69%,120,-20.82%,4 days 13:00:00,45,90,5
21,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,30
15,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,26
57,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,120
56,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,120
55,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,120
60,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,252
52,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,96
51,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,96
50,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,96
47,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,84
46,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,84
45,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,84
42,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,72
41,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,72
40,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,72
26,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,35
61,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,252
62,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,30,70,252
36,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,60
35,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,60
30,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,45
31,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,20,60,45
20,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,30
25,N/A,N/A,N/A,0,N/A,0.0,0,,0.0,N/A,0,N/A,0,10,55,35
33,nan%,50.33%,50.33%,104 days 09:00:00,50.33%,98.19594519632953,2509,1.0444006649002668,-0.4521171100000001,100%,1,50.33%,104 days 09:00:00,40,80,45
10,-9.49%,-0.99%,1.84%,1 days 04:00:00,5.02%,143.2552071145202,3392,-1.4769897734600073,-0.6753780599999999,75%,4,-9.49%,1 days 22:00:00,10,55,12
23,-45.50%,9.99%,23.86%,18 days 10:48:00,43.30%,109.11282289040358,2509,-0.1442276013955383,-0.7783535999999986,80%,5,-45.50%,61 days 23:00:00,40,80,30
5,-7.65%,-1.33%,2.46%,0 days 20:22:30,5.19%,186.92574783230077,3363,-0.5721076714096296,-1.1941851899999973,62%,8,-20.20%,1 days 21:00:00,10,55,10
14,-20.05%,6.26%,27.32%,15 days 04:53:20,46.68%,113.17043801240128,2498,1.4667329440159758,-1.2591416499999992,56%,9,-32.24%,18 days 11:00:00,45,90,12
18,-46.66%,10.54%,20.07%,15 days 04:17:09,42.42%,117.5888119713786,2509,-1.1497862511122783,-1.3729241000000003,86%,7,-46.66%,61 days 22:00:00,40,80,26
16,-11.61%,-2.89%,5.82%,2 days 07:30:00,5.82%,199.25704541161548,600,-1.853950235748478,-1.7317227500000014,50%,2,-11.61%,3 days 10:00:00,20,60,26
22,-17.35%,-1.56%,10.28%,6 days 20:34:17,30.62%,124.9561933317765,1964,-1.0985287163210815,-2.466821050000001,57%,7,-24.82%,8 days 09:00:00,30,70,30
6,-5.36%,-0.21%,2.96%,0 days 19:48:34,11.79%,144.78549615652872,2257,0.8918844898594486,-2.770662779999995,62%,42,-18.10%,1 days 07:00:00,20,60,10
11,-5.79%,-0.67%,3.16%,1 days 01:40:43,12.05%,148.15653853103382,2401,1.6693452230102952,-2.8028098999999975,57%,28,-14.76%,1 days 22:00:00,20,60,12
37,N/A,N/A,N/A,0,N/A,333.9348752293884,940,-2.318515787791344,-3.1127537900000006,N/A,0,N/A,0,30,70,60
9,-15.95%,1.88%,12.57%,8 days 05:33:45,28.44%,142.09854748522756,2498,1.6241098662918076,-3.6738180099999997,62%,16,-34.06%,18 days 18:00:00,45,90,10
13,-11.91%,0.66%,6.19%,2 days 20:15:00,24.82%,139.21389578122583,2498,1.9245091447106166,-3.7840330200000047,69%,36,-35.97%,9 days 01:00:00,40,80,12
32,-15.61%,-15.61%,nan%,10 days 02:00:00,-15.61%,437.44013333274785,1428,2.191846188423322,-4.564922790000001,0%,1,-15.61%,10 days 02:00:00,30,70,45
8,-10.62%,0.30%,5.43%,2 days 02:18:00,15.42%,172.46813575500454,2498,-1.7190991974168812,-4.6644219100000015,68%,50,-29.47%,12 days 08:00:00,40,80,10
17,-12.28%,-1.91%,8.47%,5 days 17:36:00,22.78%,213.2981935949686,1981,-1.4020585894764792,-4.749344470000002,50%,10,-27.32%,8 days 08:00:00,30,70,26
27,-43.86%,1.69%,16.87%,10 days 11:15:00,39.74%,159.67801634675394,1981,2.75026381353565,-4.879401069999998,75%,4,-43.86%,30 days 09:00:00,30,70,35
28,-42.41%,6.63%,31.15%,30 days 10:00:00,59.76%,157.57850372153607,2509,0.8077385299574212,-6.317774590000003,67%,3,-42.41%,62 days 00:00:00,40,80,35
